Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,"Mezclas
oleosas",Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsión,Total
Jan-00,0,"48,446.00","296,766.99",0,0,0,0,"194,410.48","1,426.00","202,645.20","308,156.82",0,"64,026.09",0,0,0,0,0,0,"634,667.06",0,"1,750,544.64"
Feb-00,0,"50,597.00","328,116.44",0,0,0,0,"174,710.55","1,458.00","205,530.96","307,766.31",0,"62,660.30",0,0,0,0,0,0,"642,380.66",0,"1,773,220.22"
Mar-00,0,"27,593.00","368,589.63",0,0,0,0,"189,234.07","1,503.00","229,499.56","331,910.29",0,"61,361.99",0,0,0,0,0,0,"699,807.25",0,"1,909,498.79"
Apr-00,0,"53,794.00","396,300.47",0,0,0,0,"174,330.61","1,561.00","210,680.40","315,648.08",0,"61,814.32",0,0,0,0,0,0,"586,803.98",0,"1,800,932.86"
May-00,0,"60,137.00","449,368.92",0,0,0,0,"191,745.15","1,642.00","208,164.34","319,667.97",0,"54,098.32",0,0,0,0,0,0,"656,948.20",0,"1,941,771.90"
Jun-00,0,"40,623.00","404,033.69",0,0,0,0,"196,321.93","1,641.00","195,088.74","300,347.70",0,"60,390.32",0,0,0,0,0,0,"570,919.88",0,"1,769,366.26"
Jul-00,0,"36,670.00","291,436.20",0,0,0,0,"192,344.50","1,598.00","204,556.77","308,305.93",0,"61,931.56",0,0,0,0,0,0,"576,436.02",0,"1,673,278.98"
Aug-00,0,"25,033.00","373,811.63",0,0,0,0,"203,727.08","1,438.00","218,388.51","323,011.86",0,"70,821.94",0,0,0,0,0,0,"593,770.77",0,"1,810,002.79"
Sep-00,0,"16,906.00","322,718.89",0,0,0,0,"194,565.10","1,469.00","213,906.96","326,455.72",0,"58,960.01",0,0,0,0,0,0,"590,145.40",0,"1,725,127.08"
Oct-00,0,"22,070.00","260,955.42",0,0,0,0,"210,261.83","1,475.00","213,606.65","323,843.63",0,"63,794.12",0,0,0,0,0,0,"641,113.36",0,"1,737,120.01"
Nov-00,0,"25,659.00","310,274.26",0,0,0,0,"205,027.95","1,498.00","209,227.48","320,788.08",0,"65,733.00",0,0,0,0,0,0,"657,086.30",0,"1,795,294.07"
Dec-00,0,"20,430.00","284,045.83",0,0,0,0,"200,247.56","1,501.00","230,020.70","366,987.56",0,"68,848.50",0,0,0,0,0,0,"673,282.26",0,"1,845,363.41"
Jan-01,0,"30,002.22","399,107.63",0,0,0,0,"179,405.99","1,755.58","164,547.35","300,242.78",0,"69,691.25",0,0,0,0,0,0,"569,328.79",0,"1,714,081.59"
Feb-01,0,"34,407.57","404,897.00",0,0,0,0,"167,818.14","1,510.58","174,838.81","301,483.40",0,"56,326.42",0,0,0,0,0,0,"597,749.83",0,"1,739,031.76"
Mar-01,0,"32,274.68","406,269.28",0,0,0,0,"186,397.33","1,602.58","201,992.65","355,572.83",0,"68,208.99",0,0,0,0,0,0,"736,085.97",0,"1,988,404.31"
Apr-01,0,"26,986.96","397,689.22",0,0,0,0,"175,820.35","1,355.58","198,683.39","355,826.76",0,"66,697.90",0,0,0,0,0,0,"606,257.66",0,"1,829,317.82"
May-01,0,"29,776.72","494,837.73",0,0,0,0,"178,303.33","1,273.58","182,504.09","336,040.04",0,"61,641.63",0,0,0,0,0,0,"664,082.66",0,"1,948,459.78"
Jun-01,0,"26,759.22","385,382.02",0,0,0,0,"177,826.93","1,171.58","201,379.48","308,804.70",0,"57,796.09",0,0,0,0,0,0,"559,333.03",0,"1,718,453.05"
Jul-01,0,"24,312.29","482,085.37",0,0,0,0,"191,041.99","1,637.58","214,980.24","350,501.97",0,"67,033.45",0,0,0,0,0,0,"589,452.73",0,"1,921,045.63"
Aug-01,0,"25,226.00","470,955.27",0,0,0,0,"190,295.99","1,412.58","204,646.77","348,414.65",0,"64,093.29",0,0,0,0,0,0,"568,546.37",0,"1,873,590.93"
Sep-01,0,"20,603.10","387,235.78",0,0,0,0,"184,039.99","1,710.58","188,292.35","324,393.96",0,"51,773.04",0,0,0,0,0,0,"533,108.39",0,"1,691,157.20"
Oct-01,0,"29,817.10","412,617.56",0,0,0,0,"206,176.99","1,102.58","225,240.95","366,261.63",0,"56,193.31",0,0,0,0,0,0,"603,371.18",0,"1,900,781.31"
Nov-01,0,"22,299.10","606,966.56",0,0,0,0,"201,335.99","1,791.58","210,324.95","351,890.63",0,"53,500.31",0,0,0,0,0,0,"626,156.18",0,"2,074,265.31"
Dec-01,0,"19,283.10","402,835.56",0,0,0,0,"209,792.99",979.58,"223,209.95","403,561.63",0,"60,508.31",0,0,0,0,0,0,"664,190.18",0,"1,984,361.31"
Jan-02,0,"16,971.66","512,580.55",0,0,0,0,"196,068.61","1,722.92","200,309.85","368,935.53",0,"51,969.77",0,0,0,"37,593.98",0,0,"726,672.60",0,"2,112,825.45"
Feb-02,0,"22,834.54","506,069.63",0,0,0,0,"180,209.80",923.92,"183,119.34","348,917.79",0,"42,796.92",0,0,0,"85,710.75",0,0,"694,344.78",0,"2,064,927.45"
Mar-02,0,"22,891.19","446,878.07",0,0,0,0,"186,680.97","1,082.92","212,711.71","385,044.97",0,"53,352.86",0,0,0,"64,873.73",0,0,"656,379.29",0,"2,029,895.69"
Apr-02,0,"35,584.54","450,736.26",0,0,0,0,"196,167.16","1,295.92","204,765.62","379,741.98",0,"51,056.14",0,0,0,"40,923.47",0,0,"683,646.17",0,"2,043,917.24"
May-02,0,"27,945.59","539,547.91",0,0,0,0,"201,612.36","1,671.92","201,083.51","375,054.64",0,"52,716.55",0,0,0,"62,407.67",0,0,"707,165.47",0,"2,169,205.60"
Jun-02,0,"20,228.04","456,986.27",0,0,0,0,"193,024.40",638.92,"187,629.42","371,138.59",0,"50,501.35",0,0,0,"22,963.62",0,0,"667,820.71",0,"1,970,931.30"
Jul-02,0,"14,042.27","492,323.44",0,0,0,0,"204,196.24","2,062.92","201,692.64","399,944.65",0,"55,179.82",0,0,0,"48,749.90",0,0,"656,761.60",0,"2,074,953.47"
Aug-02,0,"13,715.92","429,935.51",0,0,0,0,"213,625.43","1,825.92","205,240.77","392,355.62",0,"51,119.79",0,0,0,"13,351.58",0,0,"657,099.74",0,"1,978,270.27"
Sep-02,0,"13,512.87","381,600.34",0,0,0,0,"209,849.76","1,416.92","177,614.80","347,191.44",0,"46,923.97",0,0,0,"49,713.58",0,0,"653,664.60",0,"1,881,488.26"
Oct-02,0,"10,066.27","320,349.21",0,0,0,0,"212,932.33","1,834.92","203,097.24","381,595.20",0,"61,834.38",0,0,0,"40,876.58",0,0,"653,053.27",0,"1,885,639.38"
Nov-02,0,"16,772.08","438,764.90",0,0,0,0,"210,000.55","1,552.92","207,629.81","384,334.22",0,"50,783.20",0,0,0,"43,455.58",0,0,"671,401.33",0,"2,024,694.57"
Dec-02,0,"13,946.07","490,960.95",0,0,0,0,"223,830.40","1,397.92","199,619.27","400,645.42",0,"55,123.28",0,0,0,"52,341.58",0,0,"676,192.45",0,"2,114,057.32"
Jan-03,0,"19,127.77","459,765.40",0,0,0,0,"213,268.98","2,009.00","193,713.62","376,516.58",0,"55,260.55",0,0,0,"23,392.00",0,0,"769,843.30",0,"2,112,897.20"
Feb-03,0,"34,700.38","377,181.42",0,0,0,0,"206,815.01","1,166.00","184,354.61","355,760.81",0,"45,243.65",0,0,0,"61,772.00",0,0,"709,783.58",0,"1,976,777.46"
Mar-03,0,"56,138.58","516,535.35",0,0,0,0,"216,427.95","2,039.00","201,443.37","361,880.87",0,"51,161.05",0,0,0,"94,892.00",0,0,"786,484.49",0,"2,287,002.66"
Apr-03,0,"47,408.44","502,634.98",0,0,0,0,"204,403.51","1,469.00","219,004.31","377,395.17",0,"50,488.24",0,0,0,"36,935.00",0,0,"709,626.39",0,"2,149,365.04"
May-03,0,"49,995.62","565,746.99",0,0,0,0,"216,452.75","1,387.00","200,407.18","390,624.27",0,"50,951.19",0,0,0,"106,406.00",0,0,"755,982.05",0,"2,337,953.05"
Jun-03,0,"37,720.89","410,520.40",0,0,0,0,"212,069.04","1,309.00","168,327.72","346,941.84",0,"50,662.66",0,0,0,"61,528.00",0,0,"641,540.08",0,"1,930,619.63"
Jul-03,0,"38,616.19","438,350.49",0,0,0,0,"231,172.01","1,662.00","174,317.57","377,178.84",0,"59,604.95",0,0,0,"57,764.00",0,0,"631,704.12",0,"2,010,370.17"
Aug-03,0,"35,878.39","464,485.57",0,0,0,0,"222,312.71","1,152.00","171,665.05","355,682.72",0,"54,601.10",0,0,0,"40,642.00",0,0,"613,428.55",0,"1,959,848.09"
Sep-03,0,"41,167.35","357,778.24",0,0,0,0,"225,703.05","1,617.00","174,757.95","348,659.02",0,"52,876.98",0,0,0,"61,611.60",0,0,"582,989.47",0,"1,847,160.66"
Oct-03,0,"32,848.56","614,187.67",0,0,0,0,"239,665.04","1,115.00","209,314.45","392,041.78",0,"54,999.76",0,0,0,"52,466.00",0,0,"722,763.60",0,"2,319,401.86"
Nov-03,0,"38,513.22","697,861.80",0,0,0,0,"229,612.35",612,"168,510.00","330,640.23",0,"56,216.77",0,0,0,"65,943.03",0,0,"639,828.39",0,"2,227,737.79"
Dec-03,0,"31,050.77","340,583.67",0,0,0,0,"247,544.64",903,"196,081.99","391,327.66",0,"61,415.10",0,0,0,"58,499.66",0,0,"652,872.45",0,"1,980,278.94"
Jan-04,0,"31,681.40","430,693.77",0,0,0,0,"235,284.97","1,295.00","203,975.57","381,547.72",0,"54,764.80",0,0,"83,419.99","87,146.00",0,0,"656,987.40",0,"2,166,796.61"
Feb-04,0,"34,556.73","381,997.15",0,0,0,0,"213,288.68","2,734.00","180,290.24","339,576.46",0,"50,279.30",0,0,"40,040.00","74,043.00",0,0,"659,540.43","48,278.00","2,024,623.99"
Mar-04,0,"39,057.06","426,729.00",0,0,0,0,"233,426.35","1,238.00","206,455.62","379,687.46",0,"57,919.10",0,0,"47,740.00","59,087.00",0,0,"746,236.84","113,372.00","2,310,948.43"
Apr-04,0,"41,073.00","368,839.70",0,0,0,0,"217,530.88","1,124.00","182,379.92","357,595.81",0,"59,607.60",0,0,"63,398.50","34,697.00",0,0,"633,766.06","146,362.00","2,106,374.47"
May-04,0,"31,988.71","400,866.77",0,0,0,0,"225,959.05",968,"160,741.90","322,596.73",0,"60,199.10",0,0,"79,761.00","52,403.00",0,0,"556,369.70","176,927.00","2,068,780.96"
Jun-04,0,"45,451.10","335,267.91",0,0,0,0,"225,673.46",776,"164,782.50","318,811.50",0,"55,658.60",0,0,"67,864.50","60,590.00",0,0,"560,393.48","161,297.00","1,996,566.05"
Jul-04,0,"29,127.74","320,546.15",0,0,0,0,"243,064.07","1,725.00","182,642.41","346,413.66",0,"68,394.80",0,0,"68,343.00","39,999.00",0,0,"583,098.55","176,388.00","2,059,742.38"
Aug-04,0,"30,990.92","333,848.59",0,0,0,0,"236,324.77",759,"207,432.80","390,304.28",0,"62,772.70",0,0,"64,845.00","40,389.00",0,0,"699,610.80","184,302.00","2,251,579.86"
Sep-04,0,"24,259.26","376,693.43",0,0,0,0,"225,204.18","1,418.00","194,240.55","364,689.84",0,"53,387.80",0,0,0,"26,770.00",0,0,"612,639.57","174,244.00","2,053,546.63"
Oct-04,0,"18,477.29","323,360.76",0,0,0,0,"229,626.06","1,886.00","200,323.53","380,441.55",0,"59,383.30",0,0,"130,845.00","40,583.00",0,0,"619,084.79","171,384.00","2,175,395.28"
Nov-04,0,"18,502.20","328,267.45",0,0,0,0,"225,593.82","1,435.00","214,509.65","378,498.60",0,"56,250.20",0,0,"69,437.50","37,413.09",0,0,"705,298.16","158,324.00","2,193,529.67"
Dec-04,0,"14,061.36","289,338.80",0,0,0,0,"241,915.01","1,419.00","236,733.03","429,109.10",0,"63,695.80",0,0,"79,546.50","43,894.00",0,0,"761,864.30","180,450.00","2,342,026.90"
Jan-05,0,"17,015.36","260,522.63",0,"48,943.20",0,0,"227,154.97","1,497.00","209,901.60","321,382.14",0,"10,015.10",0,0,"98,428.00","31,108.09",0,0,"724,692.36","148,655.00","2,099,315.45"
Feb-05,0,"29,448.99","280,847.96",0,"39,285.80",0,0,"211,814.38","1,705.00","198,775.61","375,768.83",0,"9,557.40",0,0,"64,718.50","43,384.28",0,0,"717,116.77","152,244.00","2,124,667.52"
Mar-05,0,"38,075.98","404,657.12",0,"48,358.60",0,0,"224,387.03","1,282.00","231,358.58","410,241.93",0,"9,416.30",0,0,"92,735.50","32,149.00",0,0,"802,139.58","168,846.00","2,463,647.62"
Apr-05,0,"40,602.97","387,064.14",0,"39,340.90",0,0,"218,555.21",917,"225,644.89","389,737.16",0,"5,506.20",0,0,"131,785.50","47,388.00",0,0,"803,996.93","182,433.00","2,472,971.90"
May-05,0,"40,536.60","506,432.44",0,"36,827.20",0,0,"230,568.15","1,335.00","187,048.26","343,762.52",0,"6,820.90",0,0,"129,277.50","55,515.00",0,0,"715,360.44","167,907.00","2,421,391.01"
Jun-05,0,"39,064.02","562,186.30",0,"44,188.10",0,0,"223,151.26","1,412.00","202,161.79","351,906.82",0,"8,013.70",0,0,"69,657.50","55,190.00",0,0,"681,743.36","166,798.00","2,405,472.85"
Jul-05,0,"34,049.77","334,178.36",0,"50,690.50",0,0,"236,140.08","1,678.00","213,821.77","389,172.65",0,"5,335.40",0,0,"64,702.00","50,986.00",0,0,"678,614.47","122,064.00","2,181,433.00"
Aug-05,0,"29,237.36","305,370.13",0,"47,309.30",0,0,"242,734.74","1,106.00","212,696.38","396,871.12",0,"8,509.90",0,0,"86,713.00","61,600.00",0,0,"693,681.13","158,944.00","2,244,773.06"
Sep-05,0,"26,273.57","238,571.81",0,"40,131.20",0,0,"223,283.87","1,309.00","196,776.87","378,887.62",0,"5,904.70",0,0,"87,345.50","11,689.00",0,0,"666,258.37","103,761.00","1,980,192.51"
Oct-05,0,"5,405.34","230,464.40",0,"49,322.50",0,0,"213,139.58",996,"192,270.24","328,052.56",0,"7,862.90",0,0,"84,210.50","7,770.00",0,0,"589,830.24","91,025.00","1,800,349.26"
Nov-05,0,"13,712.31","302,297.60",0,"23,955.90",0,0,"222,988.53","1,624.00","185,251.12","360,869.14",0,"7,266.30",0,0,"77,429.00","35,384.00",0,0,"701,255.47","183,012.00","2,115,045.37"
Dec-05,0,"25,971.31","285,933.09",0,"50,005.00",0,0,"225,410.43","1,457.00","241,035.13","448,688.52",0,"8,298.30",0,0,"99,434.50","51,257.00",0,0,"775,027.20","163,364.00","2,375,881.48"
Jan-06,0,"26,454.21","271,228.13",0,"45,851.00",0,0,"217,867.31","1,307.00","211,152.72","382,078.88",0,"7,111.60",0,0,"98,549.00","38,294.00",0,0,"750,946.36","163,706.00","2,214,546.21"
Feb-06,0,"33,494.00","228,414.98",0,"43,198.90",0,0,"212,328.61","1,735.00","200,551.40","367,944.25",0,"6,390.90",0,0,"101,057.00","43,150.00",0,0,"734,530.76","152,377.00","2,125,172.80"
Mar-06,0,"48,745.00","338,067.89",0,"45,311.90",0,0,"232,405.36","1,585.00","233,082.86","427,567.58",0,"7,416.60",0,0,"82,582.50","29,621.00",0,0,"875,047.29","151,247.00","2,472,679.98"
Apr-06,0,"36,478.00","445,994.72",0,"44,322.20",0,0,"207,612.27","1,497.00","223,479.45","392,050.29",0,"8,600.50",0,0,"89,331.00","59,859.00",0,0,"711,185.23","29,039.00","2,249,448.66"
